company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
EuroChem Group AG,,,Switzerland,nitrogen-maker;phosphate-maker;potash-maker,"Diversified nitrogen, phosphate and potash fertilizers",,,,,,,,2026-07-14,no,"Privately held, HQ redomiciled to Zug in 2015; Russian-origin assets and founder Andrey Melnichenko remain under EU sanctions scrutiny (2025 UK High Court and CJEU rulings addressed ownership/control), but the company itself is not a sole-source node.",accounting,
OCI N.V.,OCI,Euronext Amsterdam,Netherlands,nitrogen-maker,Nitrogen fertilizers and low-carbon ammonia/methanol,,,,,,,,2026-07-14,no,"Dutch nitrogen producer that sold Iowa Fertilizer Company to Koch (closed Aug 2024) and other nitrogen assets to ADNOC/Koch as part of a roughly $7.2B divestment refocusing on low-carbon ammonia and methanol; shrinking footprint, not a chokepoint.",accounting,
Uralchem JSC,,,Russia,nitrogen-maker,Ammonia and nitrogen fertilizers,,,,,,,,2026-07-14,no,Private Russian nitrogen producer and the controlling shareholder behind Uralkali; tracked here mainly for that ownership link.,accounting,
Compass Minerals International,CMP,NYSE,United States,potash-maker;salt-miner,"Potash (Ogden, Utah solar evaporation) and salt production",,,,,,,,2026-07-14,no,Small North American potash producer relative to Nutrien/Mosaic; mostly a salt company with a minor potash sideline.,accounting,
Bayer AG,BAYN,Frankfurt (Xetra),Germany,seed-agrochem,"Seeds (Crop Science, ex-Monsanto) and crop protection chemicals",,,,,,,,2026-07-14,no,"One of the Big Four seed and agrochemical majors (with Corteva, Syngenta, BASF) that between them hold the large majority of global commercial seed genetics and crop protection chemistry; farmers have very few sources outside this group.",accounting,
Corteva Inc,CTVA,NYSE,United States,seed-agrochem,Seeds and crop protection,,,,,,,,2026-07-14,no,Spun off from DowDuPont in 2019; part of the Big Four seed/agrochem oligopoly.,accounting,
Syngenta Group,,,Switzerland / China,seed-agrochem,Seeds and crop protection chemicals,,,,,,,,2026-07-14,no,Wholly owned by China's state-owned Sinochem Holdings since the 2017 ChemChina acquisition; withdrew its Shanghai STAR Market listing in March 2024 and as of mid-2026 is reportedly weighing a Hong Kong IPO (~$50B valuation). Part of the Big Four seed/agrochem oligopoly.,accounting,
BASF SE,BAS,Frankfurt (Xetra),Germany,seed-agrochem,Crop protection chemicals (Agricultural Solutions division),,,,,,,,2026-07-14,no,World's largest chemical company by revenue; its Agricultural Solutions division is one of the Big Four crop protection majors.,accounting,
FMC Corporation,FMC,NYSE,United States,agrochem,"Crop protection chemicals: insecticides, herbicides, fungicides",,,,,,,,2026-07-14,no,Meaningful crop protection specialist (post-2017 DuPont asset acquisition) but smaller than the Big Four and not a sole-source node.,accounting,
Archer-Daniels-Midland Company,ADM,NYSE,United States,grain-trader;processor,"Grain origination and trading, oilseed crushing, food and feed ingredient processing",,,,,,,,2026-07-14,no,"One of the ABCD grain trading houses (ADM, Bunge, Cargill, [Louis] Dreyfus) that together originate, store, transport and process the large majority of globally traded grain and oilseeds; the group's combined logistics and elevator network is what farmers and importers actually cannot route around.",accounting,
Bunge Global SA,BG,NYSE,"Switzerland (HQ operations St. Louis, US)",grain-trader;processor,Grain and oilseed trading and processing,,,,,,,,2026-07-14,no,"Completed its acquisition of Viterra on July 2, 2025, consolidating two of the world's largest grain handlers; ABCD member.",accounting,
Cargill Inc,,,United States,grain-trader;processor,"Grain and oilseed trading, food and agricultural products",,,,,,,,2026-07-14,no,"Privately held (Cargill-MacMillan family); the largest private company in the US by revenue and the 'C' in ABCD; no public ticker, financials disclosed only voluntarily.",accounting,
Louis Dreyfus Company B.V.,,,Netherlands,grain-trader;processor,"Grain and oilseed merchandising, processing and logistics",,,,,,,,2026-07-14,no,Privately held (Louis-Dreyfus family/Margarita Louis-Dreyfus); the 'D' in ABCD; no public ticker.,accounting,
COFCO International,,,Switzerland (Geneva HQ; parent is China SOE),grain-trader,"Grain, oilseed, sugar and cotton trading",,,,,,,,2026-07-14,no,"Overseas trading arm of COFCO Corporation, a centrally administered Chinese state-owned enterprise; built via the Noble Agri and Nidera acquisitions into a top-tier trader increasingly described as a fifth 'ABCD+C' player, but not yet as structurally entrenched as the original four.",accounting,
Wilmar International Ltd,F34,SGX,Singapore,processor;grain-trader,"Palm oil, oilseed processing and edible oils",,,,,,,,2026-07-14,no,"Asia's largest listed agribusiness group and dominant palm oil processor, but its concentration is regional/crop-specific rather than a global grain chokepoint.",accounting,
Olam Agri,,,Singapore,grain-trader;processor,"Agri commodity trading and processing: grains, animal feed, rice, cotton, edible oils",,,,,,,,2026-07-14,no,"Formerly the agri-commodities arm of Olam Group (SGX: VC2); Saudi Arabia's SALIC completed a Tranche 1 purchase in April 2026 giving it an 80.01% controlling stake, with Olam Group retaining 19.99% and a put option for the rest; Olam Group itself continues as the separate ofi (Olam Food Ingredients) parent.",accounting,
