company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
Leonardo,LDO,Borsa Italiana (Euronext Milan),Italy,avionics;defense-prime;tier1-systems,"helicopters, defense electronics, aerostructures",,,,,,,,2026-07-14,no,Italy's aerospace and defense champion with civil aerostructure and helicopter work plus defense electronics; large but not a chain-wide bottleneck.,accounting,
BAE Systems,BA.,London Stock Exchange,United Kingdom,defense-prime;avionics;tier1-systems,"defense electronics, combat aircraft, munitions, cyber",,,,,,,,2026-07-14,no,"UK's largest defense contractor and a major F-35 structures/electronics partner, but the defense-prime layer runs parallel to civil aircraft and has multiple substitutable primes.",accounting,
VSMPO-Avisma,VSMO,Moscow Exchange (MOEX),Russia,titanium-supplier,aerospace-grade titanium mill products,,,,,,,,2026-07-14,yes,"Historically supplied roughly a third of the world's aerospace titanium (Boeing and Airbus both had direct sourcing/JV ties); Western aerospace has been derisking since 2022 but full substitution takes years given global titanium sponge/ingot capacity limits, keeping this a live chokepoint despite falling Western reliance and partial sanctions on parent Rostec.",accounting,
ATI Inc (Allegheny Technologies),ATI,NYSE,United States,titanium-supplier,"specialty metals: titanium, nickel alloys, specialty steel",,,,,,,,2026-07-14,no,A qualified Western aerospace-grade titanium melter and the primary hedge/alternative to VSMPO-Avisma; important but framed here as relief valve capacity rather than itself an irreplaceable single point of failure.,accounting,
Timet (Titanium Metals Corporation),,"subsidiary of Precision Castparts / Berkshire Hathaway, unlisted",United States,titanium-supplier,"titanium sponge, ingot and mill products",,,,,,,,2026-07-14,no,"Along with ATI, one of the few qualified Western aerospace titanium producers; owned by Precision Castparts (itself a Berkshire Hathaway subsidiary) since 2012, no separate public financials.",accounting,
Precision Castparts Corp,,"private (Berkshire Hathaway subsidiary, unlisted)",United States,structural-castings,titanium and superalloy structural castings and forgings for airframes and engines,,,,,,,,2026-07-14,yes,Single-source or near-single-source for many large structural titanium/superalloy castings and forgings used across both Boeing and Airbus programs; taken private by Berkshire Hathaway in 2016. No public financials will be available for the FINANCIALS burst.,accounting,
Howmet Aerospace,HWM,NYSE,United States,structural-castings;titanium-supplier,"engine components, fastening systems, titanium and superalloy castings/forgings",,,,,,,,2026-07-14,yes,"Spun off from Alcoa in 2020; alongside Precision Castparts, one of the very few qualified sources for complex jet-engine and structural castings and aerospace fasteners, with multi-year part qualification lead times that make switching suppliers impractical. Publicly listed, so financials can actually be filled in a later burst (unlike PCC).",accounting,
Spirit AeroSystems,,"formerly NYSE: SPR (acquired, delisted)",United States,tier1-systems,fuselage and aerostructures manufacturing,,,,,,,,2026-07-14,no,"Sole-source builder of the 737 fuselage and major sections of the 767/777/787 for decades -- a genuine physical bottleneck (a single Wichita, KS facility). Acquired by Boeing in a deal completed Dec 8 2025 (~$8.3B incl. debt); per FTC divestiture order, sites/programs tied to Airbus (A220/A320/A350 structures in the US, Morocco, France, UK) were concurrently divested to Airbus. Not separately flagged as a chokepoint because the fuselage bottleneck is now internal to Boeing's own row; kept as its own node since the facility-level single-point-of-failure risk is real and worth tracking independent of ownership.",accounting,
AerCap Holdings,AER,NYSE,Ireland,lessor,commercial aircraft leasing,,,,,,,,2026-07-14,no,"World's largest aircraft lessor by fleet after absorbing GECAS in 2021, but aircraft leasing is a competitive, substitutable financing layer, not a chain bottleneck.",accounting,
Air Lease Corporation,AL,NYSE,United States,lessor,commercial aircraft leasing,,,,,,,,2026-07-14,no,"Second major listed pure-play lessor for taxonomy balance; substitutable financing layer like AerCap, not a chokepoint.",accounting,
TransDigm Group,TDG,NYSE,United States,mro;tier1-systems,proprietary aerospace components and aftermarket parts,,,,,,,,2026-07-14,no,"Business model is built around acquiring many small sole-source, no-substitute proprietary part numbers (pumps, valves, actuators) and pricing accordingly -- each part is a micro-monopoly, but that is a portfolio of narrow chokepoints, not one chain-wide node the whole industry routes through; excluded per the 'do not flag every tier-1 supplier' rule.",accounting,
HEICO Corporation,HEI,NYSE,United States,mro,"FAA-approved replacement parts, aftermarket component repair",,,,,,,,2026-07-14,no,Major PMA (parts manufacturer approval) aftermarket supplier that exists specifically to compete with and undercut OEM sole-source pricing; it erodes chokepoints rather than being one.,accounting,
Lockheed Martin,LMT,NYSE,United States,defense-prime,"fighter aircraft (F-35), missiles, space, defense electronics",,,,,,,,2026-07-14,no,"Sole producer of the F-35, the only fifth-generation fighter in Western multinational production at scale -- a strong candidate chokepoint within the defense-prime branch, but left unflagged here to keep the flagged set focused on nodes that block the core commercial value chain; worth promoting later if the RELATIONSHIPS burst shows allied air forces have no real substitute program.",accounting,
Northrop Grumman,NOC,NYSE,United States,defense-prime,"strategic bombers (B-21), space systems, autonomous systems, defense electronics",,,,,,,,2026-07-14,no,"Major defense prime and sole B-21 bomber producer, but the bomber program is a narrow niche rather than a chain-wide bottleneck across the broader aerospace value chain.",accounting,
General Dynamics,GD,NYSE,United States,defense-prime,"business jets (Gulfstream), combat vehicles, marine systems, IT services",,,,,,,,2026-07-14,no,Diversified defense/aerospace prime (Gulfstream business jets plus land/marine defense); large but faces substitutable competition in each of its lines.,accounting,
