company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
"Marqeta, Inc.",MQ,NASDAQ,United States,issuer-processor,Card-issuing and processing API platform for fintechs,,,,,,,,2026-07-14,no,"Issuer-processing infrastructure (Cash App, Block, DoorDash cards) but competes with Galileo, i2c, and Fiserv issuer-processing lines. Completed a 1-for-4 reverse stock split effective 2026-06-30.",accounting,
J.P. Morgan Payments (JPMorgan Chase & Co.),JPM,NYSE,United States,acquirer;settlement,"Merchant acquiring, treasury services, and wholesale payments arm of the largest US bank",,,,,,,,2026-07-14,no,"One of several large bank-owned acquirers/correspondent banks (also Bank of America, Citi, Wells Fargo); competitive segment despite JPM's overall balance-sheet scale.",accounting,
Wise plc,WSE,NASDAQ (primary; secondary listing LSE:WISE),United Kingdom,alt-rail;cross-border,Cross-border money-transfer network for consumers and businesses,,,,,,,,2026-07-14,no,"Moved its primary listing from London to Nasdaq on 2026-05-11 (ticker WSE), keeping a secondary LSE listing. Competes with banks' own wire/FX desks and other remittance apps.",accounting,
SWIFT (Society for Worldwide Interbank Financial Telecommunication),,,Belgium,interbank-messaging,Member-owned cooperative operating the dominant global cross-border bank messaging network,,,,,,,,2026-07-14,yes,"Essentially the sole global standard for interbank payment messaging. Disconnecting a country's banks from SWIFT (used against Russian and Iranian banks) functions as a de facto financial blockade, evidence that no substitute exists at scale. Member cooperative, no ticker.",accounting,
"The Clearing House Payments Company L.L.C. (CHIPS, RTP)",,,United States,settlement;interbank-messaging,Bank-owned operator of CHIPS (large-value USD clearing) and the RTP real-time payments network,,,,,,,,2026-07-14,no,"Handles the bulk of large-value USD interbank clearing by dollar value, but Fedwire (central-bank operated) is a functioning alternative for final settlement, so it is not treated as a sole chokepoint here.",accounting,
Federal Reserve System (Fedwire Funds Service),,,United States,settlement,Central bank real-time gross settlement system; creates the final settlement asset for USD,,,,,,,,2026-07-14,yes,"The literal end of the line for USD settlement: every other USD rail ultimately settles through central-bank reserve accounts, which only the Fed can create. No private alternative exists.",accounting,
"Early Warning Services, LLC (Zelle)",,,United States,alt-rail;interbank-messaging,Bank-owned consortium operating the Zelle peer-to-peer payment network,,,,,,,,2026-07-14,no,"Convenient bank-to-bank P2P rail, but consumers can and do route around it via Venmo, Cash App, or cards.",accounting,
"Circle Internet Group, Inc.",CRCL,NYSE,United States,alt-rail;stablecoin-issuer,Issuer of the USDC US-dollar stablecoin,,,,,,,,2026-07-14,no,Completed its IPO on 2025-06-05 (NYSE: CRCL). Leading regulated US-dollar stablecoin issuer but competes with Tether and a growing field of bank and fintech stablecoins.,accounting,
Tether Holdings Limited,,,British Virgin Islands,alt-rail;stablecoin-issuer,"Issuer of the USDT US-dollar stablecoin, the largest stablecoin by circulation",,,,,,,,2026-07-14,no,"Dominant by market share and privately held (operations centered in El Salvador since a 2025-01 relicensing), but faces rising regulated competition from Circle/USDC and bank-issued stablecoins; not structurally irreplaceable.",accounting,
NPCI (National Payments Corporation of India) / UPI,,,India,domestic-switch;alt-rail;interbank-messaging,"Nonprofit, RBI/bank-owned operator of India's UPI real-time payment switch",,,,,,,,2026-07-14,yes,"Sole operator of UPI, the domestic switch that essentially all Indian retail digital payments route through; a government-backed monopoly with no permitted alternative rail domestically.",accounting,
