gap_id,kind,subject,sought,searched,found_instead,blocks,would_close_it,status,last_checked
gap-03-matrec-6,out-of-scope,Ganfeng Lithium / Albemarle / SQM / Glencore / CMOC Group -> cathode makers or cell makers,Whether any of these five roster companies has a named cathode/anode/electrolyte/separator supply edge or recycles-for edge fitting this slice's relationship types.,"Ganfeng-Tesla lithium hydroxide framework agreements (IndustryWeek, Mining.com, pv magazine); Ganfeng-LG Chem lithium hydroxide offtake (Fastmarkets); Glencore-Li-Cycle offtake/acquisition (glencore.com newsroom); FOUNDATION.md's own chokepoint framing of these five as upstream lithium/cobalt miners and chemical producers.","Real, well-documented named agreements exist, but the material supplied is raw lithium hydroxide/carbonate or cobalt feedstock, not finished cathode active material, anode, electrolyte, or separator product, so none fits this slice's four supply-relationship types; a separate edges_upstream.csv file already captures Glencore's cobalt supply edges (e.g. Glencore -> Umicore, Glencore -> General Motors, both supplies-cobalt-to) confirming these five belong to the upstream-mining lens, not this midstream-materials slice.",No edges added to this file for these five companies; correctly out of scope here.,"N/A -- this is a lens/slice boundary, not a sourcing gap; already resolved by the existence of edges_upstream.csv.",open,2026-07-25
gap-03-matrec-7,out-of-scope,Li-Cycle Holdings -> Glencore,Whether the well-documented Li-Cycle/Glencore commercial relationship fits the recycles-for relationship type as defined for this slice.,Glencore newsroom 'Glencore and Li-Cycle announce innovative partnership to advance circularity in battery raw material supply chains'; Recycling Today coverage of the 100% MHP offtake agreement; ESG Dive/Waste Dive coverage of Glencore's 2025 acquisition of Li-Cycle's assets out of bankruptcy.,"A real, named, dated offtake agreement (Glencore buys Li-Cycle's recycled lithium carbonate and mixed hydroxide precipitate from the Rochester Hub) and a subsequent full acquisition, but Glencore is the buyer/owner of Li-Cycle's recycled-material output, not an automaker or cell maker whose end-of-life batteries or manufacturing scrap Li-Cycle recycles -- so it does not fit the recycler -> automaker/cell-maker direction this slice's recycles-for type requires.",No edge added; documents the boundary so a future burst does not miscategorize this relationship.,"N/A -- would need a redefined relationship type (e.g. supplies-recycled-material-to) in a future schema revision, not new evidence.",open,2026-07-25
gap-03-matrec-8,undisclosed,Asahi Kasei -> Panasonic Holdings / Tesla,"A named, dated separator (Hipore) supply agreement between Asahi Kasei and Panasonic Holdings or Tesla.",Asahi Kasei Battery Separator Corporation product pages; Asahi Kasei newsroom release on the Toyota Tsusho North America capacity-rights agreement (2025); C&EN trade piece 'Japan's battery-separator makers rethink their business'.,"A named, dated agreement exists with Toyota Tsusho (a trading company, not on this map's roster) for separator capacity rights in North America; only general industry references describe Hipore separators being used in EV cells broadly, with no bilateral agreement naming Panasonic Holdings or Tesla directly.",Cannot add a supplies-separator-to edge from Asahi Kasei to Panasonic Holdings or Tesla.,"An Asahi Kasei or Panasonic press release naming a direct bilateral separator supply agreement, similar to the CATL/LGES separator deals already captured for the Chinese separator makers.",open,2026-07-25
gap-03-matrec-9,undisclosed,Gotion High-Tech -> any roster cathode/anode/electrolyte/separator maker,"A named, dated commercial supply agreement between Gotion High-Tech and a roster materials maker (Ronbay, Ningbo Shanshan, BTR, Tinci, Yunnan Energy/SEMCORP, Shenzhen Senior, POSCO Future M, Umicore, Asahi Kasei).","Gotion High-Tech MarkLines business report; CarNewsChina, CleanTechnica, and Battery-Tech Network coverage of Gotion's 2026 'Gnascent' sodium-ion battery launch; general web search for Gotion supplier agreements.","Coverage of an August 2023 Gotion-Fudan University joint research center (an academic R&D partnership, not a commercial supply agreement) and statements that Gotion is developing cathode/anode/electrolyte/separator materials in-house; no named third-party materials-maker supply agreement surfaced.",Cannot add any supplies-*-to edge into Gotion High-Tech from a roster materials maker.,A Gotion High-Tech press release or annual report naming a specific materials-maker supplier and contract terms.,open,2026-07-25
gap-03-matrec-10,undisclosed,SK On / CALB / EVE Energy -> named roster materials-maker suppliers,"A named, dated cathode/anode/electrolyte/separator supply agreement between SK On, CALB, or EVE Energy and a roster materials maker.","Electrive, KED Global, Seoul Economic Daily, and SMM coverage of SK On's lithium/cathode-material deals; general web search for CALB and EVE Energy materials-supplier agreements.","SK On has real named lithium-hydroxide and high-nickel-cathode deals, but the counterparties (EcoPro, EcoPro BM, POSCO Argentina/POSCO Group's lithium arm) are not on this map's roster -- POSCO Future M (the cathode-materials entity on roster) was not named in any SK On deal found. No named supply agreement at all surfaced for CALB or EVE Energy with any roster materials maker.","Cannot add supplies-*-to edges into SK On, CALB, or EVE Energy from any roster materials maker.","A named SK On deal specifically with POSCO Future M (rather than POSCO's separate lithium-mining arm), or any dated CALB/EVE Energy materials-supply press release naming a roster company.",open,2026-07-25
gap-03-tier4-1,undisclosed,BYD -> Tesla,a tier 1-3 source naming both parties for: supplies-cells-to,trade press / third-party attribution only (worker-sourced tier-4): https://carnewschina.com/2023/05/22/first-tesla-model-y-with-byd-blade-battery-r,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-2,undisclosed,Samsung SDI -> Volkswagen Group,a tier 1-3 source naming both parties for: supplies-cells-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.thelec.net/news/articleView.html?idxno=11004,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-3,undisclosed,CATL -> Volkswagen Group,a tier 1-3 source naming both parties for: offtake-with,trade press / third-party attribution only (worker-sourced tier-4): https://carnewschina.com/2025/02/21/volkswagen-announces-strategic-cooperation-w,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-4,stale-evidence,CMOC Group -> Ningbo Shanshan,a tier 1-3 source naming both parties for: supplies-cobalt-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.yicaiglobal.com/news/ningbo-shanshan-invests-usd265-mln-in-china-mol,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-5,undisclosed,Guangzhou Tinci Materials Technology -> CATL,a tier 1-3 source naming both parties for: supplies-electrolyte-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.yicaiglobal.com/news/chinas-tinci-soars-after-receiving-large-batter,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-6,undisclosed,Shenzhen Senior Technology Material -> LG Energy Solution,a tier 1-3 source naming both parties for: supplies-separator-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.yicaiglobal.com/news/senior-technology-material-soars-after-lg-energ,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-7,undisclosed,Ronbay Technology -> CATL,a tier 1-3 source naming both parties for: supplies-cathode-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.electrive.com/2026/01/15/catl-places-large-order-for-lfp-cathodes-wi,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-8,undisclosed,POSCO Future M -> LG Energy Solution,a tier 1-3 source naming both parties for: supplies-cathode-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.koreaherald.com/article/3113724,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-tier4-9,undisclosed,POSCO Future M -> Samsung SDI,a tier 1-3 source naming both parties for: supplies-cathode-to,trade press / third-party attribution only (worker-sourced tier-4): https://www.benzinga.com/news/23/01/30617593/koreas-posco-chemical-bags-33b-ev-d,the relationship is reported but only news/third-party evidence names both parties,"this edge cannot be drawn at the repo's tier 1-3 bar, so it is recorded as a gap not an edge",a primary filing or first-party (tier 1-2) announcement naming both companies,open,2026-07-25
gap-03-upstream-1,unevidenced-flag,Albemarle -> Tesla,"A dated, named Albemarle-Tesla lithium supply agreement (volumes/duration) usable as a sourced edge.","WebSearch: 'Albemarle Tesla lithium supply agreement press release date', 'Albemarle Tesla $1.2 billion lithium supply agreement press release date', 'Albemarle 10-K customer concentration Tesla Panasonic LG Energy Solution named', 'Albemarle Tesla lithium hydroxide supply agreement official press release albemarle.com'.","Secondary/aggregator articles (Teslarati, Motley Fool, MineListings) repeating a '$1.2 billion lithium supply deal' with no locatable primary press release; Albemarle's 10-K lists Panasonic, Tesla and LG Energy Solution generically among ~1,900 customers without a named, dated contract.","Albemarle -> Tesla edge (dropped, not forced)","An Albemarle or Tesla investor-relations press release, or an Albemarle 10-K passage naming Tesla directly with volume/duration terms.",open,2026-07-25
gap-03-upstream-2,undisclosed,Albemarle -> General Motors,A named Albemarle-GM lithium supply agreement.,WebSearch: 'Albemarle General Motors lithium supply agreement press release'.,"GM's actual disclosed lithium deal is 'GM and Lithium Americas to Develop U.S.-Sourced Lithium Production through $650 Million Equity Investment and Supply Agreement' (investor.gm.com) -- Lithium Americas is off-roster, so this does not close an on-roster edge.","Albemarle -> General Motors edge (dropped, not forced)",A dated Albemarle-GM press release naming a direct lithium supply contract.,open,2026-07-25
gap-03-upstream-3,unevidenced-flag,Albemarle -> Panasonic Holdings,"A named, dated Albemarle-Panasonic lithium supply agreement.",WebSearch: 'Albemarle Panasonic lithium hydroxide supply agreement'.,"Only a secondary source naming Panasonic as one of Albemarle's 'top lithium customers alongside Tesla and LG Energy Solution,' with no dated contract, volume, or press release located.","Albemarle -> Panasonic Holdings edge (dropped, not forced)",An Albemarle or Panasonic press release naming a specific lithium supply contract with date/volume.,open,2026-07-25
gap-03-upstream-4,unevidenced-flag,Albemarle -> Samsung SDI,A named Albemarle-Samsung SDI lithium supply agreement.,WebSearch: 'Albemarle Samsung SDI lithium supply agreement'.,"No relevant results; Samsung SDI's disclosed material-supply deals located were with L&F (cathode, off-roster) and Glencore (cobalt, already captured as its own edge).","Albemarle -> Samsung SDI edge (dropped, not forced)",A named Albemarle-Samsung SDI press release.,open,2026-07-25
gap-03-upstream-5,unevidenced-flag,SQM -> Panasonic Holdings,A named SQM-Panasonic lithium supply agreement.,WebSearch: 'SQM Panasonic lithium supply agreement'.,"SQM's disclosed lithium offtakes located were with LG Energy Solution, SK On, Hyundai/Kia and Ford (Hyundai/Kia/Ford off-roster); no SQM-Panasonic agreement found.","SQM -> Panasonic Holdings edge (dropped, not forced)",A named SQM-Panasonic press release.,open,2026-07-25
gap-03-upstream-6,out-of-scope,? -> Ronbay Technology,Which on-roster upstream miner/refiner supplies Ronbay Technology's cathode precursor production.,WebSearch: 'CMOC cobalt supply Ronbay Technology OR Ningbo Shanshan named agreement'.,"Zhejiang Huayou Cobalt (off-roster) supplies Ningbo Ronbay New Energy Technology Co. (= Ronbay Technology, 688005.SS) with precursor materials through 2030-12-31, per a Metal Bulletin report -- Huayou is not on this map's 30-company roster, so the edge cannot be forced onto it.",no on-roster edge available,Not applicable unless Zhejiang Huayou Cobalt is added to the roster in a future burst.,open,2026-07-25
gap-03-upstream-7,out-of-scope,? -> POSCO Future M,An on-roster lithium miner/refiner supplying POSCO Future M's cathode/lithium-refining operations.,"WebSearch: 'Ganfeng Lithium POSCO Future M supply agreement lithium', 'SQM POSCO lithium supply agreement'.","POSCO Future M sources lithium hydroxide from its own affiliate Posco Pilbara Lithium Solution, a joint venture of POSCO Holdings and Pilbara Minerals -- both off-roster -- rather than from any on-roster miner.",no on-roster edge available,Not applicable unless Pilbara Minerals or POSCO Holdings is added to the roster.,open,2026-07-25
gap-03-upstream-8,unevidenced-flag,Ganfeng Lithium -> BYD,"A dated, named lithium supply contract between Ganfeng Lithium and BYD (quote, volume, or term).","WebSearch: 'Ganfeng Lithium BYD supply agreement lithium'; full-text keyword scan of local BYD annual results filing (byd2.pdf, 368pp) for 'Ganfeng', 'lithium supply', 'related part(y)'.","Only a vague trade characterization that Ganfeng 'prioritized deliveries to Chinese battery manufacturers with long-term contracts like BYD and CATL,' with no contract date, volume, or direct quote; BYD's 2025 annual results announcement (byd2.pdf) discloses no named raw-material suppliers at all.","Ganfeng Lithium -> BYD edge (dropped, not forced)",A Ganfeng SZSE filing or BYD disclosure naming the contract terms.,open,2026-07-25
gap-03-upstream-9,stale-evidence,Glencore -> CATL,"A current, named Glencore-CATL cobalt supply relationship.","WebSearch: 'Glencore CATL cobalt supply agreement 2022', 'Glencore CATL Volkswagen triangular cobalt lithium deal Reuters February 2022'; WebFetch of the investingnews.com article for exact dates.","A Reuters-sourced report (published 2017-07-09) describes a four-year cobalt hydroxide/alloy contract for up to 20,000 tonnes signed in October 2016 between Glencore and CATL (with Volkswagen as the eventual battery buyer in a 'triangular deal'); that contract's term ended in 2020 and no renewal or updated agreement was found, so it cannot support a current edge.","Glencore -> CATL edge (dropped, not forced)","A current (post-2020), named Glencore-CATL cobalt agreement or renewal announcement.",open,2026-07-25
gap-03-upstream-10,unevidenced-flag,CMOC Group -> Umicore,"A named, confirmed CMOC-Umicore cobalt supply agreement (e.g. into Umicore's Kokkola refinery).","WebSearch: 'Umicore CMOC cobalt supply agreement January 2020 press release', 'CMOC Umicore cobalt agreement site:en.cmoc.com', 'Umicore CMOC cobalt supply deal 2020 Tenke Fungurume'.","Only hedged Fastmarkets reporting that CMOC 'would remain suppliers to Freeport Cobalt as outlined by the previous contract in the short term, and are likely to supply materials to the refinery after Umicore's deal with Freeport Cobalt is closed' -- no firm bilateral agreement confirmed by either company; the only confirmed CMOC-Umicore link found is joint participation in the separate Re|Source cobalt-traceability blockchain pilot (2019-2021).","CMOC Group -> Umicore edge (dropped, not forced)",A named CMOC or Umicore press release confirming a direct cobalt supply contract.,open,2026-07-25
gap-03-upstream-11,undisclosed,upstream counterparties in CATL/BYD/CMOC own filings,"Named lithium/cobalt supplier or customer counterparties inside the locally downloaded annual reports (cmoc.pdf 175pp, catl3.pdf 305pp, byd2.pdf 368pp).","Full-text PyMuPDF keyword scan of all pages of the three PDFs for: Glencore, Umicore, Albemarle, Ganfeng, SQM/Sociedad Quimica, cobalt, lithium supply, offtake, supply agreement, related party, Tianqi, Livent, Arcadium, Sichuan Yahua, Pilbara, Mineral Resources.","CATL's annual report discusses raw-material price/supply risk and its own mineral-resources investments only in generic terms (no named counterparties); CMOC's related-party-transaction sections (pp.85, 98, 151, 154, 159-161) name only intercompany/subsidiary entities, not battery-materials customers; BYD's 2025 annual results announcement contains no supplier-concentration disclosure at all.",no direct edge blocked -- explains why edges 1-10 above rely on external press releases rather than these filings,Not applicable; documented negative-scan result.,open,2026-07-25
gap-03-unreach-1,unreachable,Ganfeng Lithium -> Tesla,a reachable tier 1-3 source for the supplies-lithium-to relationship,cited source https://www.greencarcongress.com/2021/11/20211106-ganfeng.html (greencarcongress.com does not resolve from this environment; DNS ENOTFOUND on two independent attempts),"the relationship is reported in trade press but its cited third-party domain is unreachable, and no first-party (tier 1-2) source was located to replace it","this edge cannot rest on a reachable source, so it is recorded as a gap not an edge","a first-party Ganfeng or automaker announcement, or a reachable trade-press archive, naming both parties",open,2026-07-25
gap-03-unreach-2,unreachable,Ganfeng Lithium -> Volkswagen Group,a reachable tier 1-3 source for the offtake-with relationship,cited source https://www.greencarcongress.com/2019/04/20190405-vwli.html (greencarcongress.com does not resolve from this environment; DNS ENOTFOUND on two independent attempts),"the relationship is reported in trade press but its cited third-party domain is unreachable, and no first-party (tier 1-2) source was located to replace it","this edge cannot rest on a reachable source, so it is recorded as a gap not an edge","a first-party Ganfeng or automaker announcement, or a reachable trade-press archive, naming both parties",open,2026-07-25
gap-03-stale-1,stale-evidence,Sociedad Quimica y Minera de Chile (SQM) -> SK On,a currently dated confirmation of the SQM lithium hydroxide offtake to SK On,"the cited Nov 2022 SK announcement (eng.sk.com); WebSearch 'SQM SK On lithium hydroxide supply agreement 2025 2026 extension'; SQM 2Q2025 results presentation (Aug 2025, ir.sqm.com)","the 2022 announcement stays the authoritative source. The deal is 57,000 t over five years for 2023 to 2027, so it is still in force as of 2026; no termination and no newer public source names SK On. SQM does not name individual offtake customers in its periodic filings.","the edge's newest evidence is the 2022 announcement, so it renders four years old on a map whose newest evidence is 2026","a newer SQM or SK On disclosure naming the counterparty (an extension, an earnings customer note, or a regulatory filing)",open,2026-07-25
gap-03-stale-2,stale-evidence,Sociedad Quimica y Minera de Chile (SQM) -> LG Energy Solution,a currently dated confirmation of the SQM refined lithium offtake to LG Energy Solution,the cited Jul 2023 SQM announcement (sqm.com); WebSearch 'SQM LG Energy Solution lithium supply contract 2025 2026'; SQM 2Q2025 results presentation (Aug 2025),"the 2023 announcement stays the authoritative source. The agreement is over 100,000 t of battery grade lithium carbonate and hydroxide for 2023 to 2029, so it runs through 2029 and is current; no replacement or termination found. SQM does not name individual offtake customers in its periodic filings.","the edge's newest evidence is the 2023 announcement, three years old against the map's 2026 newest, though the contract it documents runs to 2029","a newer SQM or LG Energy Solution disclosure naming the counterparty (an extension, an earnings customer note, or a filing)",open,2026-07-25
