from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
POSCO Future M,General Motors,supplies-cathode-to,"GM's own investor press release states GM and POSCO Future M ""announced today the second phase of their Ultium CAM joint venture, an investment projected to exceed $1 billion (U.S.) to increase production capacity of CAM in North America and integrate precursor materials production,"" with the Ultium CAM JV (85% POSCO Future M / 15% GM) supplying cathode active material entirely to Ultium Cells, GM's battery-cell JV with LG Energy Solution, for GM EVs.",https://investor.gm.com/news-releases/news-release-details/gm-and-posco-future-m-expand-ev-battery-supply-chain-north,2023-06-02,high,2026-07-25,accounting,2
Umicore,Envision AESC,supplies-cathode-to,"Umicore's newsroom announces a ""long-term supply agreement for EV battery materials in North America"" with AESC: ""The supply agreement for cathode active materials (CAM) runs from 2026 to 2035,"" to be produced at Umicore's new Ontario, Canada plant, with ""AESC's batteries with Umicore's battery materials will power the sixth generation of the BMW eDrive technology."" AESC is the trading name used in this release for Envision AESC (the former NEC/Nissan AESC joint venture, acquired and rebranded by Envision Group in 2019); the release itself does not spell out ""Envision.""",https://www.umicore.com/en/media/newsroom/umicore-and-aesc-enter-into-long-term-supply-agreement-for-ev-battery-materials-in-north-america/,2023-10-16,medium,2026-07-25,accounting,2
Redwood Materials,Toyota,recycles-for,"Toyota's own press release: ""Toyota Motor North America (TMNA) and Redwood Materials announce an expanded recycling agreement that aims to create pathways for automotive batteries used in Toyota's electrified vehicles that have reached the end of their life,"" building on a 2022 collection/recycling agreement, with Toyota also to source cathode active material and anode copper foil from Redwood's recycling activities for future battery production.",https://pressroom.toyota.com/toyota-and-redwood-materials-agree-to-battery-recycling-materials-procurement/,2023-11-16,high,2026-07-25,accounting,2
Redwood Materials,Panasonic Holdings,recycles-for,"Panasonic's newsroom headline: ""Panasonic Energy Signs Agreement with Redwood for Supply of Recycled Cathode Materials and Copper Foil for EV Batteries."" Redwood has recycled Panasonic's battery-manufacturing scrap from the Tesla Gigafactory Nevada since 2019 and, under this expanded deal, supplies recycled cathode active material back to Panasonic's new De Soto, Kansas plant and recycled copper foil to Gigafactory Nevada.",https://news.panasonic.com/global/press/en221115-4,2022-11-15,high,2026-07-25,accounting,2
Redwood Materials,General Motors,recycles-for,"Redwood Materials' own press release (as reported by Electrive and other outlets) announced Redwood ""will recycle production scrap"" -- cathode, anode materials and other cell components -- ""from GM's Ultium Cells battery joint venture plants in Warren, Ohio, and Spring Hill, Tennessee,"" roughly 10,000 tons of scrap annually.",https://www.redwoodmaterials.com/news/redwood-ultium-cells-partnership/,2024-05-23,medium,2026-07-25,accounting,2
Redwood Materials,Volkswagen Group,recycles-for,"Volkswagen's own media release announced ""Volkswagen Group of America and Redwood Materials to Create Supply Chain for EV Battery Recycling,"" quoting VWGoA CEO Scott Keogh: ""Redwood Materials is a great partner to help us accelerate EV adoption in America. This collaboration allows us to move closer toward our goal of closing the loop for a circular EV economy,"" covering recycling of Volkswagen- and Audi-branded EV batteries in the US.",https://media.vw.com/en-us/releases/1695,2022-07-12,high,2026-07-25,accounting,2
Li-Cycle Holdings,LG Energy Solution,recycles-for,"Li-Cycle's SEC Form 6-K exhibit describes commercial agreements under which, ""through a North America Scrap 10-year Offer Agreement, Li-Cycle will have the opportunity to recycle nickel-bearing lithium-ion battery scrap and other lithium-ion battery material from LGES's North America manufacturing sites,"" alongside a 10-year nickel-sulphate offtake agreement; LGES and LG Chem ""officially recognized Li-Cycle as their preferred lithium-ion battery recycling partner in North America.""",https://www.sec.gov/Archives/edgar/data/1828811/000119312522113648/d343067dex991.htm,2022-04-21,high,2026-07-25,accounting,1
Li-Cycle Holdings,General Motors,recycles-for,"GM's own investor press release: Ultium Cells LLC (GM/LG Energy Solution joint venture) ""announced an agreement with Li-Cycle to recycle up to 100 percent of the material scrap from battery cell manufacturing"" at its Lordstown, Ohio plant, covering cobalt, nickel, lithium, graphite, copper, manganese and aluminum, with about 95% of recovered materials usable in new battery production.",https://investor.gm.com/news-releases/news-release-details/ultium-cells-llc-and-li-cycle-collaborate-expand-recycling-north,2021-05-11,high,2026-07-25,accounting,2
Yunnan Energy New Material (SEMCORP),BYD,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
Yunnan Energy New Material (SEMCORP),EVE Energy,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
Yunnan Energy New Material (SEMCORP),CALB,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
Yunnan Energy New Material (SEMCORP),Gotion High-Tech,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
Yunnan Energy New Material (SEMCORP),Panasonic Holdings,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
Yunnan Energy New Material (SEMCORP),LG Energy Solution,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
BTR New Energy Materials,CATL,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
BTR New Energy Materials,BYD,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
BTR New Energy Materials,EVE Energy,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
BTR New Energy Materials,Panasonic Holdings,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
BTR New Energy Materials,LG Energy Solution,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
BTR New Energy Materials,SK On,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
BTR New Energy Materials,Samsung SDI,supplies-anode-to,"BTR New Energy Materials FY2025 annual report states it is a core supplier to global mainstream battery makers, naming 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 松下(Panasonic), LGES, SK On, 三星SDI(Samsung SDI) as long-term strategic customers. Anode supply.",http://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260424/7fb34b543ff011f18c72fa163e296ac0.pdf,2026-04-24,high,2026-07-25,accounting,1
Glencore,Umicore,supplies-cobalt-to,"Joint press release: the companies ""entered into a long-term revolving agreement for the supply of cobalt hydroxide (cobalt) to Umicore's battery materials value chain,"" sourced from Glencore's KCC and Mutanda operations in the DRC and shipped to Umicore's cobalt refineries.",https://www.umicore.com/en/media/newsroom/umicore-and-glencore-develop-partnership-for-sustainable-cobalt-supply-in-battery-materials/,2019-05-29,high,2026-07-25,accounting,2
Glencore,General Motors,supplies-cobalt-to,"Glencore and GM press releases: ""Glencore will supply GM with cobalt from its Murrin Murrin operation in Australia"" under a multi-year sourcing agreement, for use in GM's Ultium battery cathodes (Chevrolet Silverado EV, GMC HUMMER EV, Cadillac LYRIQ).",https://www.glencore.com/media-and-insights/news/glencore-and-general-motors-enter-multi-year-cobalt-supply-agreement,2022-04-12,high,2026-07-25,accounting,2
Glencore,Samsung SDI,supplies-cobalt-to,"Glencore's own press release: a five-year agreement (2020-2024) to supply Samsung SDI with up to 21,000 tonnes of cobalt contained in cobalt hydroxide, sourced from Glencore's DRC operations and independently audited annually.",https://www.glencore.com/media-and-insights/news/samsung-sdi-and-glencore-extend-their-long-term-strategic-cobalt-partnership,2020-02-10,high,2026-07-25,accounting,2
Ganfeng Lithium,Umicore,supplies-lithium-to,"Umicore's own press release: ""Umicore has signed long-term lithium supply agreements with Ganfeng Lithium and Vulcan Energy Resources."" The Ganfeng contract (initial 5-year term) covers battery-grade lithium carbonate and lithium hydroxide monohydrate supplied from 2022 to 2026, covering a significant part of Umicore's future lithium needs in Asia.",https://www.umicore.com/en/umicore-signs-long-term-sustainable-lithium-contracts-with-ganfeng-and-vulcan/,2021-10-15,high,2026-07-25,accounting,2
Sociedad Quimica y Minera de Chile (SQM),LG Energy Solution,supplies-lithium-to,"SQM's own press release: SQM and LG Energy Solution ""announced a new long-term purchase agreement...to supply over 100,000 metric tons of battery grade lithium carbonate and lithium hydroxide"" during the 2023-2029 period, replacing and roughly tripling an earlier 36,000-tonne agreement. Caveat: this evidence predates the map's newest sources by about three years and is older than most edges here; reverified 2026-07-25, no replacement or termination found and the announced agreement runs to 2029 (see gap-03-stale-2).",https://www.sqm.com/en/noticia/sqm-y-lg-energy-solution-anuncian-nuevo-contrato-de-largo-plazo-para-suministrar-productos-refinados-de-litio/,2023-07-05,high,2026-07-25,accounting,2
Sociedad Quimica y Minera de Chile (SQM),SK On,supplies-lithium-to,"SK On's own newsroom: SK On and SQM held a signing ceremony in Seoul under which ""SK On will purchase up to 57,000 tons of high-quality lithium hydroxide"" from SQM for five years starting in 2023. Caveat: this evidence predates the map's newest sources by about four years and is older than most edges here; reverified 2026-07-25, no termination or newer public confirmation found and the announced five year supply term runs to 2027 (see gap-03-stale-1).",https://eng.sk.com/news/sk-on-signs-lithium-hydroxide-supply-deal-with-worlds-leading-producer-sqm,2022-11-04,high,2026-07-25,accounting,2
CMOC Group,CATL,supplies-cobalt-to,"CMOC's own news release: CATL's indirect subsidiary Ningbo Brunp CATL New Energy acquired a 25% stake in CMOC's KFM Holding Limited (Kisanfu mine, DRC) for US$137.5 million, so that ""CMOC becomes a long-term cobalt supplier to the world's largest power battery manufacturer"" and ""CATL has secured a long-term reliable, clean, and responsible source of cobalt raw material,"" with offtake proportional to the 71.25%/23.75% CMOC/CATL ownership split (subsequently formalized as a KFM supply-and-purchase arrangement covering 2025-2027).",https://en.cmoc.com/html/2021/News_0411/42.html,2021-04-11,high,2026-07-25,accounting,2
